Ref	Id	Lat	Long
01 - current	01	60,81666667	16,5
12 - Ishida et al (2010) unpublished	12	64,18333333	19,55
04 - Bougoure et al (2007) Molecular Ecology 16: 4626-4636	04	57,15	-3,76666666666667
09 - Hui et al (2012) Boreal Environment reserach 17: 46-58	09	61	26,33333333
09 - Hui et al (2012) Boreal Environment reserach 17: 46-58	09	61	26,33333333
19 - Prenafeta-Boldu et al (2014) Nova Hedweigia 99: 347-372	19	51,82118333	3,947966667
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	52,91666667	7,833333333
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	52,41666667	0,8333333333
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	53,41666667	-1,75
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	51,75	6,083333333
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	52,5	13,01666667
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	51,75	13,58333333
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	56,66666667	-4,25
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	51,25	-13,8333333333333
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	49,66666667	11,5
15 - Lindahl et al (2007) New Phytologist 173: 611-620	15	60,81666667	16,5
17 - Menkis et al (2012) FEMS Microbiology Ecology 81: 438-445	17	56,93333333	24,85
14 - Kubatova et al (2015) FEMS Microbiolgoy 91:	14	59,88333333	18,18333333
22 - Urbina et al - Arabidopsis paper	22	62,8	18,2
02 - Aucina et al unpub	02	54	24,05
23 - Voronina et al 2018	23	51,68333333	36,71666667
05 - Clemmensen et al (2015) New Phytologist 205: 1525-1536	05	65,91666667	17,71666667
05 - Clemmensen et al (2015) New Phytologist 205: 1525-1536	05	66,15	17,91666667
